Rank,Naam,Park,Fabrikant,Operatief,Punten F,Punten P
109,Ghost Chasers,Moviepark Germany,Mack Rides,1,0,0
110,Matterhorn Blitz,Europa-Park,Mack Rides,1,0,0
111,Atlantica SuperSplash,Europa-Park,Mack Rides,1,0,0
112,Loup Garou,Walibi Belgium,Vekoma,1,0,0
113,Bandit,Moviepark Germany,RCCA,1,0,0
114,	Schweizer Bobbahn,Europa-Park,Mack Rides,1,0,0
115,Schlange von Midgard,Hansa Park,Gerstlauer,1,0,0
116,Mine Train,Slagharen,Vekoma,1,0,0
117,Frida,Energylandia,Vekoma,1,0,0
118,Tom y Jerry,Parque Warner,Zierer,1,0,0
119,	Pegasus,Europa-Park,Mack Rides,1,0,0
120,Kikkerachtbaan,Duinrell,Zierer,1,0,0
121,Rasender Tausendfüßler,Tripsdrill,Zierer,1,0,0
122,Energus,Energylandia,Vekoma,1,0,0
123,Dragon Fly,Duinrell,Gerstlauer,1,0,0
124,Jul's RollerSkates,Juliana Toren,Vekoma,1,0,0
125,Donderstenen,Hellendoorn,Zierer,1,0,0
126,Oki doki,Bobbejaanland ,Vekoma,1,0,0
127,Fun Pilot,Walibi Belgium,Zamperla,1,0,0
128,Tami-Tami,PortAventura,Vekoma,1,0,0
129,Toos-Express,Toverland,Vekoma,1,0,0
130,Backyardigans: Misson to Mars,Moviepark Germany,Vekoma,1,0,0
131,Grottenblitz,Heide Park,Mack Rides,1,0,0
132,Indy-Blitz,Heide Park,Zierer,1,0,0
133,Draak,Plopsaland de Panne ,Mack Rides,1,0,0
134,Drako,Walibi Holland,Vekoma,1,0,0
135,Kleine Zar,Hansa Park,Preston & Bareiri,1,0,0
136,Bob express,Bobbejaanland ,Mack Rides,1,0,0
137,Ba-a-a-Express,Europa-Park,Mack Rides,1,0,0
138,Junior Red Force,Ferrari Land,SBF Visa,1,0,0
139,Achterbahn,Wunderland Kalkar,Zamperla,1,0,0
140,Alpenexpress Enzian,Europa-Park,Mack Rides,1,0,0
141,Volare,Prater Park,Zamperla,1,0,0
142,Viking Roller Coaster,Energylandia,SBF Visa,1,0,0
